Article,Topic,Date,Party,Changes from Previous Version,,,
Health and Safety,Far UV Lighting Study,4/11/2025,Union,No change: Maintained Far UV lighting feasibility study,,,
Health and Safety,Workplace Injury Coverage,8/26/2024,Union,"Initial proposal: If certified workplace injury prevents GSW from continuing appointment, GSW continues receiving tuition/fee waivers for contracted period or up to 2 years beyond if injury prevents work, whichever longer; eligible for worker's compensation",,,
Health and Safety,Workplace Injury Coverage,11/18/2024,Union,No change: Maintained workplace injury tuition waiver coverage up to 2 years beyond contract,,,
Health and Safety,Workplace Injury Coverage,4/11/2025,Union,No change: Maintained workplace injury protections with 2-year tuition coverage and worker's compensation,,,
Health and Safety,Temperature Control,8/26/2024,Union,"Initial proposal: All GSW workspaces maintain 66F-78F except where different needed; heated to 68F target (66-72F range), cooled to 76F target (72-78F range); includes labs, offices, meeting rooms, TA classrooms; immediate correction/repair if outside range",,,
Health and Safety,Temperature Control,11/18/2024,Union,No change: Maintained 66F-78F requirement with specific heating/cooling targets,,,
Health and Safety,Temperature Control,4/11/2025,Union,"Changed: Added 'reasonable' temperature qualifier; if outside range, resolve problem or provide alternative workspace (was: immediate correction/repair)",,,
Health and Safety,Bathroom Access,8/26/2024,Union,"Initial proposal: Map of gender-neutral bathrooms; GSWs not prevented from using bathroom of choice regardless of gender; unrestricted access to gender-neutral bathroom within building and within 5-minute walk; if not available, re-assign existing bathroom; if none, section/class/work reassignment with GSW consent",,,
Health and Safety,Bathroom Access,9/19/2024,University,Changed: Continue regular bathroom maintenance and upgrades; maintain gender-neutral bathrooms; make available map (was: Union's detailed access requirements),,,
Health and Safety,Bathroom Access,11/18/2024,Union,"No change: Maintained comprehensive bathroom access requirements - map, choice regardless of gender, within building and 5-minute walk, re-assignment provisions",,,
Health and Safety,Bathroom Access,4/11/2025,Union,Changed: Added 'if possible' to re-assigning existing bathroom; GSW 'may request' their reassignment; combined with University's maintenance language (was: absolute requirements),,,
Health and Safety,Menstrual Products,8/26/2024,Union,"Initial proposal: University continues providing menstrual products in bathrooms at no cost; additionally, in all such bathrooms regardless of gender",,,
Health and Safety,Menstrual Products,11/18/2024,Union,No change: Maintained menstrual products in all bathrooms regardless of gender at no cost,,,
Health and Safety,Menstrual Products,4/11/2025,Union,Changed: University shall 'routinely' provide menstrual products (was: 'continues' providing),,,
Health and Safety,Off-Site and International Work,8/26/2024,Union,"Initial proposal: For work outside University (except local remote), provide info about travel abroad, rights, benefits at least 14 days before; GSWs may decline unsafe locations including US states unsafe for pregnant, LGBTQ+, protected classes; provide US field work safety info; make aware of all resources",,,
Health and Safety,Off-Site and International Work,9/19/2024,University,Changed: GSWs assigned internationally receive info through Global Safety and Support webpages; must comply with University travel requirements including registration; not required to travel to High Risk Travel policy locations (was: Union's broader off-site provisions),,,
Health and Safety,Off-Site and International Work,11/18/2024,Union,No change: Maintained comprehensive off-site provisions including right to decline US states unsafe for protected classes,,,
Health and Safety,Off-Site and International Work,4/11/2025,Union,Changed: Combined both - University's Global Safety webpage and compliance requirements for international; Union's unsafe location declination and US field work info; kept 'must comply' language (was: choosing between approaches),,,
Health and Safety,First Aid Supplies,8/26/2024,Union,"Initial proposal: Adequate properly maintained first aid kits in GSW workspaces; equipment including Narcan, defibrillator, epinephrine auto-injector, aspirin, iodine, oral glucose/emergency glucose pen in appropriate locations; first aid training at no cost for all GSWs",,,
Health and Safety,First Aid Supplies,9/19/2024,University,Changed: Continue providing first aid supplies in appropriate campus locations; provide training as determined by OARS/ECOS (was: Union's detailed kit contents and universal training),,,
Health and Safety,First Aid Supplies,11/18/2024,Union,"Changed: Detailed kit contents - properly maintained including Advil, Band-Aids, oral glucose; workspace-specific items by request (Epi-pens); infrequent items (Narcan, AEDs) at appropriate granularity in marked locations; training at no cost for all GSWs (was: University's general supplies and OARS/ECOS-determined training)",,,
Health and Safety,First Aid Supplies,4/11/2025,Union,"Changed: Combined both - University continues providing and training per OARS/ECOS, plus Union's detailed kit contents and workspace provisions (was: choosing between approaches)",,,
Health and Safety,Report Sharing and Data Access,8/26/2024,Union,"Initial proposal: When GSW contests safety and informs ECOS or Union, ECOS and Union must inform other within 24 hours; University provides past data (toxic chemicals, water tests, mold, PFAS, lead, air quality, CO2, asbestos) within 15 days; Union receives future ECOS/OARS reports within 2 days",,,
Health and Safety,Report Sharing and Data Access,11/18/2024,Union,No change: Maintained 24-hour notification between ECOS and Union; 15-day data provision; 2-day future reports,,,
Health and Safety,Report Sharing and Data Access,4/11/2025,Union,"Changed: If GSW informs ECOS or OARS, Union must be informed within 24 hours; 'if requested' qualifier added for providing past data; maintained 15-day and 2-day timelines (was: automatic sharing)",,,
Health and Safety,Health and Safety Testing,8/26/2024,Union,"Initial proposal: In suspected/ongoing communicable disease outbreak or nuclear/biological/chemical contamination, University offers relevant tests at no cost to GSWs in affected areas",,,
Health and Safety,Health and Safety Testing,11/18/2024,Union,No change: Maintained health and safety testing in outbreak/contamination situations,,,
Health and Safety,Health and Safety Testing,4/11/2025,Union,Changed: Added 'if GSWs expected to work' qualifier; expanded to localized or public health issues from sections 2 and 3; tests until issue resolved (was: just outbreaks/contamination),,,
Health and Safety,Public Health Notifications,8/26/2024,Union,"Initial proposal: During threats (gov't emergency, MA/CDC outbreak, AQI >100), email community about risks/precautions; beginning each semester, provide N95 masks, medications, rapid tests, vaccinations at no cost in high-traffic location; campus emails about preventative measures",,,
Health and Safety,Public Health Notifications,9/19/2024,University,New: University will continue to send advisories to bargaining unit as part of practice of communicating to community about local public health emergencies,,,
Health and Safety,Public Health Notifications,11/18/2024,Union,No change: Maintained detailed notification triggers and semester supply provisions,,,
Health and Safety,Public Health Notifications,12/9/2024,University,Changed: Maintained minimal version - continue sending advisories about local public health emergencies (was: Union's detailed triggers and supply requirements),,,
Health and Safety,Public Health Notifications,4/11/2025,Union,"Changed: Combined - University sends advisories about local emergencies, plus Union's triggers (emergency declarations, outbreak declarations, AQI >100); kept semester supply provisions (was: University minimal vs Union comprehensive)",,,
Health and Safety,Public Health Testing Requirements,8/26/2024,Union,"Initial proposal: In event of public health notification (Section 13a or 13b), University requires relevant weekly testing of all who may enter GSW workspaces at wheelchair-accessible locations; if testing behaviors don't satisfy GSW, entitled to remote work",,,
Health and Safety,Public Health Testing Requirements,11/18/2024,Union,"Changed: University will 'offer, promote, and supply' weekly testing (struck through 'require') (was: University 'requires')",,,
Health and Safety,Public Health Testing Requirements,4/11/2025,Union,"Changed: During public health crisis or pandemic, if testing doesn't satisfy GSW, entitled to remote work or reassignment to comparable remote position (was: just remote work)",,,
Health and Safety,Masking Requests,8/26/2024,Union,"Initial proposal: GSWs may request universal masking in workspaces (classrooms, offices, labs, meetings, work events) by posting notice or verbal announcement anytime without justification; if masking behaviors don't satisfy GSW, entitled to remote work",,,
Health and Safety,Masking Requests,11/18/2024,Union,No change: Maintained masking request rights with remote work option,,,
Health and Safety,Masking Requests,4/11/2025,Union,"Changed: If masking doesn't satisfy GSW, entitled to remote work or reassignment to comparable remote position (was: just remote work)",,,
Health and Safety,Infectious Disease Work Policy,8/26/2024,Union,"Initial proposal: GSWs who test positive or have symptoms not required to work for at least 10 days after first positive/symptoms, nor until 24 hours after symptoms end, nor until 24 hours after negative test, whichever later; if beyond 10 days, need provider note; supervisors may not pressure; GSW receives full pay during absence",,,
Health and Safety,Infectious Disease Work Policy,9/19/2024,University,New: Bargaining unit members who are sick should not report to campus and should utilize sick leave when sick and unable to work,,,
Health and Safety,Infectious Disease Work Policy,11/18/2024,Union,"No change: Maintained 10-day minimum, symptom/test requirements, supervisor non-pressure, full pay during absence",,,
Health and Safety,Infectious Disease Work Policy,12/9/2024,University,No change: Maintained sick members should not report and should use sick leave,,,
Health and Safety,Infectious Disease Work Policy,4/11/2025,Union,"Changed: Combined - not required to work for 10 days or until symptoms end/negative test; if beyond 10 days, need note; supervisors may not pressure; GSW entitled to use available paid sick/personal leave; positive test is serious condition for FMLA (was: 'full pay' vs 'sick leave')",,,
Holidays,Official Holidays List,3/15/2024,Union,"Initial proposal: GSWs not required to work on paid holidays - 17 specific dates including New Year (2 days), MLK, Presidents, Cesar Chavez (last Fri in March), Patriots (April 15), May Day (May 1), Memorial, Juneteenth, July 4, Labor, Indigenous Peoples, Election (2nd Tue Nov), Veterans, Wed before Thanksgiving, Thanksgiving, Fri after Thanksgiving, Dec 24-31",,,
Holidays,Calendar Setting Authority,8/26/2024,University,"Initial proposal: University sets academic calendar and designates official holidays, may change holidays; stipended GSWs not required to work on official University holidays except as Section 2 provides; nothing prohibits GSW from working if they choose (was: Union's 17 specific holidays)",,,
Holidays,Calendar Setting Authority,12/20/2024,Union,Changed: Added University's calendar setting language as 'Section 6-university'; maintained Union's 17 specific holidays in Section 1.A (was: University proposal replaced specific holidays),,,
Holidays,Required Holiday Work,3/15/2024,Union,"Initial proposal: May be required to work in reasonable exceptional or exigent circumstances; if required, receive overtime rate OR equivalent additional vacation days",,,
Holidays,Required Holiday Work,8/26/2024,University,Changed: May be required when determined necessary by advising faculty/supervisor; may choose alternate day(s) off with supervisor approval (was: Union's overtime or vacation compensation),,,
Holidays,Required Holiday Work,12/20/2024,Union,Changed: Included both versions - 'Section 2-union' with overtime/vacation option and 'Section 2-university' with supervisor approval for alternate days (was: choosing between approaches),,,
Holidays,Stipend Definition,8/26/2024,University,New: Term 'stipended graduate students' for all benefits means those on 12-month appointment providing 20 hours/week of services,,,
Holidays,Stipend Definition,12/20/2024,Union,Changed: Added as 'Section 8-university' - stipended GSWs for benefits means 12-month appointment with 20 hours/week (was: no definition),,,
Holidays,Hourly Workers Excluded,8/26/2024,University,"New: Handwritten note 'NO HOLIDAYS FOR HOURLIES' - University proposal applies only to stipended GSWs, excluding hourly workers entirely from holiday benefits",,,
Holidays,Supervisor Discretion,8/26/2024,University,"New: Handwritten note 'THE INTENT IS NOT TO DENY, BUT SUPERVISORS CAN REJECT FOREVER' - alternate day off requires supervisor approval with no time limits or guarantees",,,
Holidays,Holiday Observance Rules,3/15/2024,Union,"Initial proposal: When holiday on Sunday, observe Monday; when on Saturday, observe Friday; birthday as holiday (observance rule doesn't apply); annually celebrate 1 new year of choice (observance rule applies); local/state/federal election days are holidays",,,
Holidays,Holiday Observance Rules,12/20/2024,Union,Changed: Maintained Sunday/Saturday observance; birthday (rule doesn't apply); 1 paid day for new year (rule applies); election days now 'up to 5 hours paid time to vote' instead of full holiday (was: all election days full holidays),,,
Holidays,Religious and Cultural Holidays,3/15/2024,Union,Initial proposal: University recognizes religious and cultural holidays not currently University holidays; shall not require GSWs to work on observed holidays; GSWs make reasonable effort to provide advance notice,,,
Holidays,Religious and Cultural Holidays,12/20/2024,Union,No change: Maintained religious and cultural holiday protections with advance notice,,,
Holidays,Recesses,3/15/2024,Union,Initial proposal: Recesses per University and School calendars considered paid holidays,,,
Holidays,Recesses,12/20/2024,Union,Changed: Removed 'considered paid holidays' qualifier; recesses per calendars (was: recesses are paid holidays),,,
Holidays,Emergency Closures,3/15/2024,Union,"Initial proposal: When University closed due to emergency circumstances, GSWs are released",,,
Holidays,Emergency Closures,12/20/2024,Union,No change: Maintained emergency closure release provision,,,
Intellectual Property,Ownership Rights,5/15/2024,Union,"Initial proposal: IP created by GSW is sole and exclusive property of GSW except as GSW may voluntarily choose to transfer, in full or part",,,
Intellectual Property,Ownership Rights,12/20/2024,Union,Changed: Added exception for external funding requirements; added joint creation provision - ownership split equally unless voluntarily decided by creators (was: absolute GSW ownership),,,
Intellectual Property,Ownership Rights,3/11/2025,Union,"Changed: GSWs governed by University Copyright and Patent policies; unless prohibited by external funding, IP created solely by GSW or GSW-group and covered under Copyright policy - if monetized, not subject to net licensing revenues until exceeds $5000; IP created outside appointment without significant University resources is sole GSW property (was: absolute GSW ownership regardless of policies)",,,
Intellectual Property,Open Source Rights,12/20/2024,Union,"New: GSWs retain right to make IP open source (e.g., MIT License); retain right to withhold or revoke use unless voluntarily transferred in full",,,
Intellectual Property,Open Source Rights,3/11/2025,Union,"Changed: Where permitted by external funding, GSWs may place work under permissive software licenses; otherwise same rights (was: absolute open source right)",,,
Intellectual Property,Plain Language Policies,3/11/2025,Union,New: University will maintain plain-language version of IP-related policies including Copyright and Patent policies for GSWs,,,
Intellectual Property,Non-Retaliation,5/15/2024,Union,"Initial proposal: University shall not retaliate against GSW for enforcing ownership rights or participating in IP rights forums, academic integrity investigations, patent/copyright disputes, scholarly misconduct investigations including plagiarism",,,
Intellectual Property,Non-Retaliation,12/20/2024,Union,No change: Maintained comprehensive non-retaliation protections for IP enforcement and investigations,,,
Intellectual Property,Non-Retaliation,3/11/2025,Union,No change: Maintained non-retaliation protections,,,
International Worker Rights,Equal Status Clause,12/20/2024,University,"Initial proposal (from Union 08-26-24 text): University recognizes right for all GSWs to join union regardless of citizenship, immigration, or documentation status",,,
International Worker Rights,Equal Status Clause,1/28/2025,Union,No change: Maintained equal status clause,,,
International Worker Rights,Equal Status Clause,3/11/2025,Union,No change: Maintained right to join union regardless of citizenship/immigration status,,,
International Worker Rights,Ongoing Communication,12/20/2024,University,"Initial proposal (from Union 08-26-24): Parties pledge collaborative effort on international GSW employment through LMC; LMC discusses international status matters; meet with Office of Global Services annually (doesn't count toward LMC sessions); upon immigration law changes, LMC may meet to adjust procedures",,,
International Worker Rights,Ongoing Communication,1/28/2025,Union,"Changed: Clarified structure - LMC discusses matters; annual OGS meeting (doesn't count); upon law changes, parties meet to determine adjustments (was: less structured presentation)",,,
International Worker Rights,Ongoing Communication,3/11/2025,Union,Changed: Added 'or in event of significant changes in immigration law and policy' to annual OGS meeting trigger (was: just annual),,,
International Worker Rights,Privacy - Subpoena Notice,12/20/2024,University,Initial proposal (from Union 08-26-24): University provides advanced notice to GSW of subpoena from governmental agency seeking FERPA-governed information,,,
International Worker Rights,Privacy - Subpoena Notice,1/28/2025,Union,Changed: Advanced notice 'within one (1) calendar day' to GSW of subpoena or any investigation seeking FERPA information (was: 'advanced notice' without timeline),,,
International Worker Rights,Privacy - Subpoena Notice,3/11/2025,Union,No change: Maintained 1 calendar day notice for subpoenas/investigations,,,
International Worker Rights,Privacy - Information Sharing,12/20/2024,University,"Initial proposal (from Union 08-26-24): Except as required by lawful subpoena, University will not provide immigration/personal info (address, contact, workplace, schedule) to governmental agencies without GSW consent",,,
International Worker Rights,Privacy - Information Sharing,3/11/2025,Union,Changed: Narrowed to 'will not provide' to ICE without consent except lawful subpoena (was: any governmental agencies),,,
International Worker Rights,Privacy - Agent Access,12/20/2024,University,Initial proposal (from Union 08-26-24): University shall not permit federal immigration agent to enter University property,,,
International Worker Rights,Privacy - Agent Access,1/28/2025,Union,Changed: Added exception 'except as required by lawful subpoena' (was: absolute prohibition),,,
International Worker Rights,Privacy - Agent Access,3/11/2025,Union,"Changed: 'Shall not permit any federal immigration agent to enter private University property, except as required by lawful subpoena or lawful order' (was: University property generally)",,,
International Worker Rights,Privacy - Agent Compliance,12/20/2024,University,"Initial proposal (from Union 08-26-24): If University learns agent seeking to interrogate/search/seize GSW on premises, University rep requests agent comply with legal requirements; Union educates members on how to respond",,,
International Worker Rights,Privacy - Agent Compliance,1/28/2025,Union,Changed: Restructured - struck Union education portion from this section; maintained University requests compliance before interrogation/search/seizure (was: combined University action and Union education),,,
International Worker Rights,Privacy - Agent Compliance,3/11/2025,Union,Changed: 'University employer will make reasonable efforts to ensure outside agents comply with legal processes when provided prior notice or when campus admin becomes aware' (was: University requests compliance),,,
International Worker Rights,Privacy - Valid Warrant Procedures,12/20/2024,University,"Initial proposal (from Union 08-26-24): If served with valid DHS search/arrest warrant not invalidated by court, University requests private setting for questioning GSWs",,,
International Worker Rights,Privacy - Valid Warrant Procedures,1/28/2025,Union,Changed: Corrected typo 'invalided' to 'invalidated' (was: 'invalided'),,,
International Worker Rights,Privacy - Valid Warrant Procedures,3/11/2025,Union,No change: Maintained valid warrant private setting request,,,
International Worker Rights,Privacy - Investigation Notification,12/20/2024,University,Initial proposal (from Union 08-26-24): Union educates members to contact Union if aware of immigration investigation; University notifies Union within 1 calendar day after learning of investigation,,,
International Worker Rights,Privacy - Investigation Notification,1/28/2025,Union,No change: Maintained Union education and University notification within 1 day,,,
International Worker Rights,Privacy - Investigation Notification,3/11/2025,Union,No change: Maintained investigation notification requirements,,,
International Worker Rights,Privacy - Compliance with Laws,12/20/2024,University,"New: University shall comply with all applicable laws, including privacy protection laws for University community",,,
International Worker Rights,Privacy - Compliance with Laws,3/11/2025,Union,"Changed: 'All applicable laws, including laws regarding protection of privacy of all members of Bargaining Unit' (was: University community)",,,
International Worker Rights,Equal Workload,12/20/2024,University,Initial proposal (from Union 08-26-24): International GSWs have same rights; given same distribution and quality of work as non-international GSWs,,,
International Worker Rights,Equal Workload,1/28/2025,Union,Changed: Clarified 'same rights under this Agreement; given same distribution and quality of work' (was: 'have same rights; are to be given'),,,
International Worker Rights,Equal Workload,3/11/2025,Union,"Changed: Added 'protected against discrimination in type, nature, and quantity of work given' (was: just same distribution and quality)",,,
International Worker Rights,Document Provision,12/20/2024,University,Initial proposal (from Union 08-26-24): University continues practice of assisting international students by providing documents for immigration matters; respects privacy rights consistent with applicable laws,,,
International Worker Rights,Document Provision,1/28/2025,Union,"Changed: 'Assisting international GSWs by providing documents regarding employment, residence, enrollment'; unless required by law, respect GSW privacy by receiving informative consent (was: general immigration matters)",,,
International Worker Rights,Document Provision,3/11/2025,Union,Changed: University continues practice of 'promptly providing documents necessary for immigration matters' (was: documents regarding employment/residence/enrollment),,,
International Worker Rights,Immigration Resources,12/20/2024,University,Initial proposal (from Union 08-26-24): University continues maintaining list of attorneys and immigration agencies including pro bono agencies for immigration questions,,,
International Worker Rights,Immigration Resources,1/28/2025,Union,No change: Maintained list of attorneys and immigration resources including pro bono agencies,,,
International Worker Rights,Immigration Resources,3/11/2025,Union,Changed: 'GSWs may choose to contact' instead of 'students may choose' (was: students),,,
International Worker Rights,Reimbursement Fund,12/20/2024,University,"Initial proposal (from Union 08-26-24): University establishes $675,000 annual fund for international GSW reimbursement - VISA fees, legal fees, representation, immigration travel, other expenses; up to $1,800 per event per GSW",,,
International Worker Rights,Reimbursement Fund,1/28/2025,Union,No change: Maintained $675k annual fund with $1800 per event limit,,,
International Worker Rights,Reimbursement Fund,3/11/2025,Union,No change: Maintained reimbursement fund provisions,,,
International Worker Rights,Attorney Access,12/20/2024,University,"Initial proposal (from Union 08-26-24): International students given access to attorney for information on rights minimum once per semester, whether part of orientation or not",,,
International Worker Rights,Attorney Access,1/28/2025,Union,"Changed: 'At least once per semester, University will sponsor immigration clinic where GSWs may sign up to speak to immigration attorney' (was: given access minimum once per semester)",,,
International Worker Rights,Attorney Access,3/11/2025,Union,No change: Maintained immigration clinic once per semester,,,
International Worker Rights,Work Authorization Cooperation,12/20/2024,University,Initial proposal (from Union 08-26-24): University cooperates with GSW completing work authorization documentation in timely manner; no loss of seniority/compensation due solely to legal name or SSN changes consistent with applicable law,,,
International Worker Rights,Work Authorization Cooperation,1/28/2025,Union,Changed: Moved 'consistent with applicable law' to modify 'in timely manner' instead of modifying 'changes' (was: applicable law applied to changes),,,
International Worker Rights,Work Authorization Cooperation,3/11/2025,Union,No change: Maintained work authorization cooperation with timely manner and no loss provisions,,,
International Worker Rights,ESL Resources,12/20/2024,University,Initial proposal (from Union 08-26-24): University continues making available links to off-campus ESL resources/classes plus on-campus ESL tutoring with Global Student Success and International Tutoring Center,,,
International Worker Rights,ESL Resources,1/28/2025,Union,Changed: Added 'University will continue to offer support and resources for international graduate students through Office of Global Services and other relevant offices' (was: just ESL-specific),,,
International Worker Rights,ESL Resources,3/11/2025,Union,No change: Maintained ESL resources and Office of Global Services support,,,
International Worker Rights,Inability to Return to US,12/20/2024,University,"Initial proposal (from Union 08-26-24): If GSW unable to return to US due to immigration status for reasons outside reasonable control, University considers whether possible to undertake reasonable efforts to arrange remote work when legally permissible if can satisfy assignment and project/funding conditions",,,
International Worker Rights,Inability to Return to US,1/28/2025,Union,Changed: 'University shall consider whether it is possible to undertake reasonable efforts to arrange for GSW to perform duties outside US' (simplified language) (was: consider whether possible to undertake efforts),,,
International Worker Rights,Inability to Return to US,3/11/2025,Union,No change: Maintained reasonable efforts for remote work arrangement if GSW cannot return,,,
International Worker Rights,Loss of Work Authorization,12/20/2024,University,"Initial proposal (from Union 08-26-24): If GSW terminated because not authorized to work in USA, provide notice with copy of this section and union contact; notify Union within 1 day; if return impossible/unlikely, assist in continuing education at equivalent international university including timely transcripts/records, placement at international campus, remote work support",,,
International Worker Rights,Loss of Work Authorization,1/28/2025,Union,Changed: Simplified 'no longer authorized to be in United States' (was: 'not authorized to work'); 'equivalent international campus' instead of 'university'; added 'timely and without holds' for providing documents (was: just timely),,,
International Worker Rights,Loss of Work Authorization,3/11/2025,Union,Changed: 'Equivalent international Northeastern campus' (was: equivalent international campus or university),,,
International Worker Rights,Expedited Grievances for Visa Issues,12/20/2024,University,"Initial proposal (from Union 08-26-24): If visa status threatened by dismissal, may file directly to arbitration; University and Union expedite process to complete before GSW loses visa status",,,
International Worker Rights,Expedited Grievances for Visa Issues,1/28/2025,Union,"Changed: 'If visa or employment status threatened by discipline and/or dismissal, Union may utilize expedited grievance procedure in Article XX; parties agree University refrains from changes to visa/employment status until grievance resolved' (was: file directly to arbitration)",,,
International Worker Rights,Expedited Grievances for Visa Issues,3/11/2025,Union,No change: Maintained expedited grievance use with status freeze during process,,,
International Worker Rights,Existing Benefits Protection,12/20/2024,University,"Initial proposal (from Union 08-26-24): Nothing precludes University from continuing to offer benefits or advise on visa issues; all existing tools, advising, or benefits for international GSWs continue",,,
International Worker Rights,Existing Benefits Protection,1/28/2025,Union,"Changed: 'All existing tools, advising, or benefits shall be maintained for life of agreement, or replaced with similar equivalents' (was: shall continue)",,,
International Worker Rights,Existing Benefits Protection,3/11/2025,Union,No change: Maintained existing benefits protection for life of agreement or similar equivalents,,,
International Worker Rights,Insurance Benefits Equality,12/20/2024,University,"Initial proposal (from Union 08-26-24): International GSWs given same insurance benefits as non-international GSWs, subject to admission/funding commitment terms and applicable Agreement terms",,,
International Worker Rights,Insurance Benefits Equality,1/28/2025,Union,No change: Maintained equal insurance benefits provision,,,
International Worker Rights,Insurance Benefits Equality,3/11/2025,Union,No change: Maintained insurance benefits equality,,,
International Worker Rights,Work Authorization Response Time,12/20/2024,University,"Initial proposal (from Union 08-26-24): Visa work authorization (CPT, OPT, STEM OPT) for internships and co-ops responded to within 1 week of submitting",,,
International Worker Rights,Work Authorization Response Time,1/28/2025,Union,No change: Maintained 1-week response time for work authorization,,,
International Worker Rights,Work Authorization Response Time,3/11/2025,Union,Changed: Added I-20 to list; changed to 'processed within 15 business days'; OGS creates process for emergency/urgent requests needing faster response through no fault of GSW (was: 1 week response),,,
Job Postings,Open Position Definition,2/16/2024,Union,Initial proposal: Positions filled to fulfill admission commitment or existing/past faculty relationship; otherwise 'open positions' posted on central website; struck work not open; post as soon as vacancy occurs; distribute via email to all grad students in division; University hires NU grad students over other candidates; positions not filled due to automation must be posted,,,
Job Postings,Open Position Definition,5/15/2024,University,Changed: Only hourly positions posted on SEGAF; eligible stipended GSWs (who lost funding for non-academic reasons) may apply for open funded positions; request info from college within 10 business days; process ceases when webpage established (was: Union's comprehensive posting for all positions),,,
Job Postings,Open Position Definition,8/2/2024,Union,"Changed: Restored Union approach - positions filled via admission commitment or faculty relationship, otherwise open; post within 10 days of vacancy; email to division students; automation prohibition reference added to Article XX (was: University's limited eligible-only approach)",,,
Job Postings,Open Position Definition,10/30/2024,University,"Changed: Limited to hourly on SEGAF and eligible stipended PhD GSWs who lost funding; added prioritization - should accept department/program first, then college, then outside college; eligible if no replacement offered within 14 days (was: Union's all positions)",,,
Job Postings,Open Position Definition,2/18/2025,Union,"Changed: Restored comprehensive approach - positions filled via commitment or relationship, otherwise open; applies to all positions; University hires NU grad students over other candidates (was: University's limited eligible-only)",,,
Job Postings,Central Website Requirements,2/16/2024,Union,Initial proposal: University maintains central website for open positions; bi-weekly notices to employing units and all grad students; departments link to website; no separate application systems; notify Union of address within 30 days; LMC meets twice per semester to evaluate website,,,
Job Postings,Central Website Requirements,5/15/2024,University,Changed: Webpage established by year 2 where colleges may post open teaching positions; includes Article VI Section 3 info; doesn't supplant college/department process (was: Union's immediate central website with bi-weekly notices),,,
Job Postings,Central Website Requirements,8/2/2024,Union,Changed: Restored central website maintenance; bi-weekly notices to units and students; departments link to site; no separate systems; notify Union within 30 days; LMC twice per semester evaluation (was: University's year 2 minimal webpage),,,
Job Postings,Central Website Requirements,10/30/2024,University,Changed: Webpage by year 2 for colleges to post teaching or research positions for eligible GSWs; includes 7 basic items from Article VI (was: just teaching),,,
Job Postings,Central Website Requirements,2/18/2025,Union,"Changed: Unified webpage by September 1, 2025; for all hourly and stipended GSWs; clearly posted on SEGAF; units link to it; no separate systems; post within 15 days of vacancy; transitioned from SEGAF for hourly (was: University's year 2 timeline)",,,
Job Postings,Posting Content Requirements,2/16/2024,Union,"Initial proposal: 15 required items - title, dates, supervisor, course/lab, duties, qualifications, location, pay rate/range/frequency, schedule, CBA statement, application info, deadline, non-discrimination statement, DEI/compliance/ombuds/union contacts, retention/explanation statement",,,
Job Postings,Posting Content Requirements,5/15/2024,University,Changed: Removed all posting content requirements; just references Article VI Section 3 (was: Union's 15 items),,,
Job Postings,Posting Content Requirements,8/2/2024,Union,Changed: Restored 16 items (added Article XX anti-discrimination attachment/link); otherwise same comprehensive list (was: University removed all),,,
Job Postings,Posting Content Requirements,10/30/2024,University,"Changed: 7 basic items - title, dates, college/dept/supervisor if known, terms/stipend, scope of responsibilities, weekly schedule if known, contact to apply (was: Union's 16 items)",,,
Job Postings,Posting Content Requirements,2/18/2025,Union,"Changed: Combined lists - 15 items total merging both proposals; includes University's basics plus Union's CBA statement with link, anti-discrimination, DEI contacts, retention statement (was: choosing between 7 vs 16)",,,
Job Postings,Applicant Notification,2/16/2024,Union,"Initial proposal: Upon request, inform applicant of status; once filled, notify unsuccessful applicants within 7 business days; inform about retention for last-minute openings; if additional positions, consider retained applications and repost",,,
Job Postings,Applicant Notification,5/15/2024,University,Changed: Removed all applicant notification requirements (was: Union's 7-day notification with retention),,,
Job Postings,Applicant Notification,8/2/2024,Union,Changed: Restored notification via email status updates from system; notify unsuccessful within 7 days; inform about retention; consider retained apps for additional positions (was: University removed all),,,
Job Postings,Applicant Notification,2/18/2025,Union,Changed: Inform status through email updates from system; notify unsuccessful as soon as possible but no later than 7 business days after acceptance; consider retained apps for additional positions (was: within 7 days),,,
Job Postings,Selection Procedures and Timelines,2/16/2024,Union,"Initial proposal: Equitable, bias-free selection; no tuition/benefits cost in hiring decisions; extend offers within 2 weeks; offers via website with email; email all Section 3 info plus benefits; employment type may change but compensation/tuition/benefits not less than offer",,,
Job Postings,Selection Procedures and Timelines,5/15/2024,University,Changed: Removed all selection procedure and timeline requirements (was: Union's equity provisions and 2-week timeline),,,
Job Postings,Selection Procedures and Timelines,8/2/2024,Union,"Changed: Restored equity and bias-free requirements; no tuition cost in hiring; extend offers within 3 weeks; offers via website with email; email info and benefits; type may change but not compensation (was: University removed all, Union extended to 3 weeks from 2)",,,
Job Postings,Selection Procedures and Timelines,2/18/2025,Union,Changed: Maintained no tuition cost in hiring; extend offers within 3 weeks; offers via website with email; email Section 7 info and benefits (was: Section 3),,,
Management Rights,University Academic and Management Rights,6/18/2024,University,"Initial proposal: Comprehensive 24-point enumeration of exclusive University rights including operations control, workforce composition, assignments, evaluation, discipline, rules, facilities, calendar, subcontracting, budgeting, tuition/fees, housing, benefits, insurance, admissions, academic standards, teaching matters, research, grants, grading, compensation systems, academic policies; graduate students are first and foremost students; University sole discretion on academic matters; enumeration not exhaustive; exercise not subject to grievance",,,
