Article,Topic,Summary
"Workspace and Materials","Additional Work Materials","University (03-25-25): Request materials from advisor/supervisor/PI; supervisor-approved materials provided timely; no penalty for lack of access; reimbursed within 14 days; 90-day submission window."
"Workspace and Materials","Protective Equipment - Requirements and Provision","University (03-25-25): If University or Union determines PPE required, University furnishes at no cost following ECOS/OARS protocol; GSWs must adhere to safety policies."
"Workspace and Materials","Protective Equipment - Mask/Respirator Rights","University (03-25-25): GSWs not restricted from wearing protective mask/respirator; may wear any PPE including masks consistent with applicable policies."
"Workspace and Materials","Protective Equipment - Prescription Safety Eyewear","University (03-25-25): If lab requires goggles, GSW with prescription may request prescription safety goggles if interfere with vision per supervisor/OARS determination; no cost."
"Workspace and Materials","Ergonomic Equipment - Request Process","University (03-25-25): May request through OARS/ECOS with copy to supervisor; must be provided upon request; requests not unreasonably denied."
"Workspace and Materials","Ergonomic Equipment - Evaluations","University (03-25-25): Ergonomic and safety evaluations/training offered by OARS/ECOS available to all GSWs."
"Workspace and Materials","Ergonomic Workplace Design","University (03-25-25): University will continue to incorporate accepted ergonomic practices into new and existing workplace/workstation designs."
"Workspace and Materials","Remote Work - Policy Restrictions","University (03-25-25): University shall not require specific attendance beyond task needs; neither University nor supervisor unreasonably deny remote requests including medical/disability accommodations."
"Workspace and Materials","Remote Work - Accommodation Situations","University (03-25-25): University accommodates all remote/online work requests without medical documentation for: GSW requests, lack of space, University requirement, medical recommendation."
"Workspace and Materials","Moving Office or Lab","University (03-25-25): University notifies GSWs 30 days before move/alteration for stipended students; uses facilities/moving companies; GSWs not expected to move materials if notify supervisor."
"Workspace and Materials","Afterhours Workspaces","University (03-25-25): University will make every attempt to schedule evening courses in buildings with other activities."
"Housing","Minimum On-Campus Housing Units","Union (12-20-24, Rejected): University shall maintain minimum on-campus housing units equal to 10% of total GSWs for duration of Agreement."
"Housing","Priority for Housing","Union (12-20-24, Rejected): Priority given to GSWs from more than 1,500 miles away, with families, or with disabilities."
"Housing","Accessibility Coordination","Union (12-20-24, Rejected): HRL works with DAS and Parent/Family Programs to ensure GSWs with disabilities or families obtain housing meeting accommodation needs."
"Housing","Maintenance and Condition","Union (12-20-24, Rejected): HRL ensures all units cleaned, renovated, facilities in good condition prior to move-in; additional maintenance performed timely."
"Housing","Safety Standards","Union (12-20-24, Rejected): HRL ensures bedrooms have locks, basic furnishings, standard outlets, safety devices (smoke/carbon monoxide detectors) as required by law."
"Housing","Housing Cost Cap","Union (12-20-24, Rejected): Graduate housing costs including utilities and WiFi shall be no greater than 20% of GSW minimum salary level."
"Housing","Housing Resources Page","Union (12-20-24, Rejected): Northeastern maintains housing resources page including off-campus rentals, rental rights/legal services, centralized roommate finder, on-campus options."
"Parking and Transit","Article Framework","University (08-26-24): Bargaining unit members have access to and may choose from parking and transit benefit options outlined in this Article."
"Parking and Transit","Parking","University (08-26-24): Access to opportunities to park on campus through parking options offered to students through University parking vendor, MassParc."
"Parking and Transit","Transit","University (08-26-24): May take advantage of discounted MBTA passes offered to students at University."
"Parking and Transit","Biking","University (08-26-24): Eligible for bicycle benefits and access to bike facilities on same basis as offered to other students at University."
"Relocation Assistance","One-Time Relocation Stipend","Union (08-02-24): All GSWs employed shall be provided one-time relocation stipend of $6,000 upon hiring."
"Retirement","Retirement Plan - Participation and Contribution","Union (08-02-24): Immediate eligibility upon first appointment; University contributes 10% of eligible compensation each paycheck; GSWs may contribute as allowed by law."
"Retirement","Supplemental Retirement Plan","Union (08-02-84): All GSWs eligible immediately for supplemental retirement plan allowing pre-tax income contributions toward retirement."
"Tax Assistance","Reimbursement for Tax Assistance","Union (08-02-24): University reimburses each GSW up to $600 for documented expenses related to tax assistance from licensed professional or software each tax year."
"Tax Assistance","Documentation Provision","Union (08-02-24): University provides GSWs with all documentation necessary to file taxes in timely manner."
"Tax Assistance","Voluntary Withholding Option","Union (08-02-24): University provides GSWs with option to voluntarily withhold portion of income for tax purposes."
"Tax Assistance","Directory of Licensed Professionals","Union (08-02-24): University maintains and provides directory of licensed professionals indicating expertise filing taxes for international students."
"Tuition and Fees","Tuition Remission - Provision","Union (08-02-24): Tuition remission provided to all GSWs."
"Tuition and Fees","Tuition Remission - Maintenance During Leaves","Union (08-02-24): Tuition remission maintained through internships, co-ops, or paid and unpaid leaves of any type."
"Tuition and Fees","Tuition Remission - University Burden","Union (08-02-24): Tuition remission sole burden of University; no forms or administrative burden placed on GSW to fulfill this benefit."
"Tuition and Fees","Tuition Remission - Automatic Registration","Union (08-02-24): Upon completion of required coursework, salaried GSWs automatically registered into appropriate courses for degree continuation to maintain full-time status."
"Tuition and Fees","Fee Remission - Covered Fees","Union (08-02-24): All GSWs receive remission for all fees including Health & Counseling, Graduate Student Activity, Recreation, Student Center, International Student Fees."
"Tuition and Fees","Remittance Timeline","Union (08-02-24): Tuition and fees remitted from GSW's account upon appointment; GSWs should not receive billing notifications for remitted tuition and fees."
"Tuition and Fees","No Additional Fees","Union (08-02-24): For duration of agreement, no additional fees imposed on GSWs except by mutual agreement of Union and University."
"Vacation and Personal Time","Vacation Days - Stipended Students Structure","University (08-26-24): Stipended students get 2 days off per semester (fall/spring), 1 per summer term; approved at least two weeks in advance; may not require class/lab cancellation."
"Vacation and Personal Time","Vacation Days - Additional Time Requests","University (08-26-24): Students may request additional time with supervisor; at discretion of supervisor/college; no precedent created for similar arrangements."
"Vacation and Personal Time","Vacation Days - Use and Carryover","University (08-26-24): Time off must be used during term; will not carry over into succeeding term."
"Vacation and Personal Time","Vacation Days - First Month Restriction","University (08-26-24): May not use both days together within first month of appointment except as allowed by supervisor."
"Vacation and Personal Time","Personal Time - Accrual and Approval","University (08-26-24): Up to 3 paid personal days per academic year; accrue 1 per semester worked; carry over within year but not to following year; two weeks advance approval required."
"Vacation and Personal Time","Hourly Workers","University (08-26-24): No vacation provisions for hourly GSWs in University proposal."
"Travel","Advance Payment System","Union (03-25-25): University directly pays in advance for lodging, transportation, conference fees; per diem at GSA/State Dept rates with 14 days notice via digital form; through NUCard and Concur."
"Travel","Reimbursement Process","Union (03-25-25): Expenses not paid in advance reimbursed via direct deposit within 30 days of submission; 60-day deadline from date expense paid/incurred for submitting requests."
"Travel","Travel Insurance Coverage","Union (03-25-25): University provides personal/emergency health insurance for work-related travel with 14 days notice; includes Procurement Services rates, property insurance, trip cancellation."
"Travel","Emergency Medical Travel","Union (03-25-25): Emergency medical expenses covered by University or health insurance provider when certification from healthcare provider presented; no pre-approval required."
"Travel","Emergency Repatriation and Evacuation","Union (03-25-25): University covers emergency repatriation/evacuation during GSW travel; coverage exceeds consulate minimums with no deductible."
"Union Access and Rights","Meeting Space","University (03-25-25): Available at no cost on same terms as other campus organizations; subject to availability; may not disrupt operations; University reserves right to limit/revoke."
"Union Access and Rights","Union Representative Campus Access","University (03-25-25): Non-student reps provide reasonable advance notice; requests for contract servicing meetings shall not be unreasonably denied."
"Union Access and Rights","Bargaining Unit Representative List","University (03-25-25): Within 30 days of semester start and whenever updated, Union provides list of authorized representatives for grievances and bargaining unit work."
"Union Access and Rights","Communication Methods","University (03-25-25): College mailboxes may be utilized by Union; Union has access to one bulletin board per college subject to posting policies."
"Union Access and Rights","New PhD Orientation Materials","University (03-25-25): University provides Union-supplied materials to newly admitted stipended students in PhD orientation packet; 30-day advance notice to Union."
"Union Access and Rights","Campus Orientation Notification and Speaking Time","University (03-25-25): University notifies Union of campus-wide GSW orientations ASAP but no later than one week before; Union gets 30 minutes at campus-wide, 20 minutes at college/departmental."
"Union Access and Rights","Representation Rights","University (03-25-25): GSWs reserve right to Union representation in any proceeding implicating work status including cases where student status may be at risk."
"Union Access and Rights","Basic Bargaining Unit Information - Timing","University (03-25-25): Within 30 days after start of each semester, University provides basic info to extent permitted by FERPA."
"Union Access and Rights","Basic Bargaining Unit Information - Data Points","University (03-25-25): Name, home address (city/state/country only), major field of study, college."
"Union Access and Rights","FERPA Waiver Additional Information - Timing","University (03-25-25): Within 30-day period for those who submitted FERPA waiver by semester start, if info in University's possession."
"Union Access and Rights","FERPA Waiver Additional Information - Data Points","University (03-25-25): NU ID, home street address/city/state, cell phone, email, appointment title/department, home department, stipend/hourly rate, status, college, supervisor."
"Union Access and Rights","FERPA Release Form Process","University (03-25-25): University maintains link to FERPA Release Form that can be accessed online; contents determined by University, subject to change consistent with FERPA."
"Union Security","Membership or Agency Fee Requirement","Union (02-18-25): As condition of employment, GSWs must join Union or pay agency fee within 30 days; agency fee equivalent to dues; Union provides formula."
"Union Security","Joint Notification of Obligation","Union (02-18-25): Upon ratification, University and Union jointly notify GSWs of obligation; notice includes membership application and dues authorization from Appendix."
"Union Security","Notification at Hire","Union (02-18-25): University notifies each GSW at hire of obligation to pay dues/agency fees; notifies Union of new hires within a week."
"Union Security","Dues Deduction Process","Union (02-18-25): Upon Union notification of authorization, University deducts dues/fees from each paycheck; remits with electronic list including name, NUID, email, department, amount, wages."
"Union Security","Cancellation Process","Union (02-18-25): Payroll deduction can be changed by following Union process; Union notifies University of changed memberships within 10 days of receipt."
"Union Security","Transmission to Union","Union (02-18-25): University electronically transmits all dues and agency fees on first working day after each payday."
"Union Security","Union Indemnification","Union (02-18-25): Union indemnifies University from claims/actions/proceedings arising from deductions under Union direction."
"Union Security","Termination for Non-Payment","Union (02-18-25): Failure to pay required dues/fees is cause for termination; University provides 30 days written notice before Union requests termination."
"Union Security","VCAP Form Provision","Union (02-18-25): University furnishes UAW V-CAP authorization form as part of standard payroll enrollment process."
"Union Security","Dues Change Notification","Union (02-18-25): Union notifies University at least 30 days prior to any change in dues/agency fees amount; provides formula for calculating."
"Union Security","Correction of Deduction Errors","Union (02-18-25): Union reports missing/incorrect deductions; University corrects errors as soon as practicable after being informed in writing."
"Bargaining Ground Rules","Recording Prohibition","Union (01-25-24): There shall be no audio or video recording of any negotiations."
"Bargaining Ground Rules","Student Bargaining Committee Work Hours","University (02-16-24): Student Bargaining Committee members represent that they will not participate in negotiations during their work hours."
"Bargaining Ground Rules","Session Length","Union (01-25-24): Length of bargaining sessions limited to 2 hours unless extended by mutual agreement of parties."
"Bargaining Ground Rules","Session Frequency","Union (01-25-24): Once negotiations begun, sessions take place at least once every 2 weeks until complete agreement reached; dates by mutual agreement."
"Bargaining Ground Rules","Written Proposals","University (02-16-24): Whenever possible, proposals submitted in writing and provided in electronic format."
"Bargaining Ground Rules","Location and Caucus Space","University (02-16-24): University identifies location for bargaining ASAP in advance; provides private caucus location for Union; Union may request alternate location."
"Bargaining Ground Rules","Primary Contact Designation","University (02-16-24): Each party designates one person as primary contact for communications when not meeting; communications to nugradworkers@gmail.com and s.merrill@northeastern.edu."
"Bargaining Ground Rules","Bargaining Notes","Union (01-25-24): Neither party obligated to produce copies of bargaining notes or minutes to other party."
"Bargaining Ground Rules","Package Agreement","Union (01-25-24): There shall be no agreement on any one item unless final agreement on all items."
"Bargaining Ground Rules","Redlining Counter-Proposals","University (02-16-24): Any counter-proposals shall be redlined so clear what changes are being proposed."
"Bargaining Ground Rules","Observers","University (02-16-24): Bargaining limited to bargaining team/committee of each party; observers not allowed except by mutual agreement."
